Point_ID,Timestamp_UTC,Latitude_Decimal,Longitude_Decimal,Ellipsoid_Height_m,Orthometric_Height_m,Fix_Quality,Satellites_Used,PDOP,HDOP,Horizontal_Accuracy_m,Vertical_Accuracy_m,Feature_Code,Notes
PT101,2026-07-04T08:15:22Z,49.1234567,-122.8765432,45.231,18.452,1,18,1.2,0.7,0.012,0.018,BM,Control Point BM 12A
PT102,2026-07-04T08:17:05Z,49.1234891,-122.8764115,45.195,18.416,1,19,1.1,0.6,0.011,0.017,MON,Iron pin property corner
PT103,2026-07-04T08:22:40Z,49.1239123,-122.8759881,42.854,16.075,1,17,1.4,0.8,0.015,0.022,CL,Centerline road asphalt
PT104,2026-07-04T08:24:15Z,49.1234946,-122.8757213,42.512,15.733,1,17,1.4,0.8,0.014,0.021,EP,Edge of pavement north
PT105,2026-07-04T08:31:50Z,49.1242104,-122.8751354,41.103,14.324,1,16,1.5,0.9,0.018,0.026,MH,Sewer manhole cover center
PT106,2026-07-04T08:36:12Z,49.1245578,-122.8748901,39.941,13.162,1,18,1.2,0.7,0.013,0.019,LP,Light pole base southwest
PT107,2026-07-04T08:42:01Z,49.1248902,-122.8741023,38.652,11.873,1,15,1.7,1.1,0.021,0.031,BLDG,Building corner concrete block
PT108,2026-07-04T08:48:33Z,49.1251234,-122.8736541,37.114,10.335,2,11,2.8,1.9,0.085,0.142,TREE,Top of bank canopy margin
PT109,2026-07-04T08:52:19Z,49.1253412,-122.8731102,36.458,9.679,1,19,1.1,0.6,0.011,0.016,TOB,Top of bank ditch slope
PT110,2026-07-04T08:55:04Z,49.1254501,-122.8729987,34.221,7.442,1,18,1.3,0.7,0.013,0.020,FL,Flowline ditch invert
PT111,2026-07-04T09:01:45Z,49.1258812,-122.8721094,33.910,7.131,1,20,1.0,0.5,0.009,0.014,BM,Secondary Control Point BM 12B
PT112,2026-07-04T09:08:22Z,49.1261103,-122.8715431,31.054,4.275,1,14,1.8,1.2,0.024,0.035,UTIL,Gas valve box surface marker
PT113,2026-07-04T09:12:50Z,49.1263456,-122.8711023,29.412,2.633,2,10,3.2,2.2,0.115,0.198,FENC,Chainlink fence corner post
PT114,2026-07-04T09:18:11Z,49.1267891,-122.8704512,28.115,1.336,1,16,1.4,0.8,0.016,0.023,GND,Natural ground shot grass
PT115,2026-07-04T09:22:36Z,49.1271023,-122.8699814,27.842,1.063,1,17,1.3,0.7,0.014,0.021,GND,Natural ground shot gravel pad
